pair,E_strain,E_chem,Omega_K,frequency
Cu–Mo,0.3755294117647065,-0.3615636034404717,-869.7583796703287,1
Gd–Pb,2.1706431535269703,-0.4965203050406104,-867.2369975355201,1
Li–Ti,0.6294736842105261,-0.34511573099907433,-861.1096481897309,1
La–Ti,1.8099124423963118,-0.4353889284442861,-859.8080875545473,2
Pr–Ti,1.0854084507042236,-0.334301250839253,-849.9484741355323,1
Na–Nb,7.8772277227722745,-0.8773981503501124,-847.9888461436003,2
Na–Ti,1.360592592592591,-0.3407008756639464,-846.2281136555571,3
Ti–Y,0.11701960784313746,-0.23195400131963423,-844.4155142759836,1
Na–V,4.171253588516743,-0.5563909250685866,-843.3032984376774,3
Gd–Ti,0.4489230769230777,-0.24937538799038497,-842.1921687533796,1
Mo–Ni,2.259745222929935,-0.39066754473727616,-840.8513688190395,1
Li–Zr,0.09218181818181836,-0.182463406576043,-833.3389470674448,1
Hf–Ta,0.017836257309941553,-0.17548539023452508,-833.1193567752612,1
Al–Ni,0.6393802816901397,-0.21969068877550996,-831.6578225948814,1
Dy–Ti,0.1810975609756101,-0.1791444999528702,-830.8800215231483,1
Cu–V,0.592000000000001,-0.2121294185787481,-830.7912751803946,2
Ho–Ti,0.11623529411764726,-0.17197997880666116,-830.4372496031613,1
Er–Ti,0.0675665024630543,-0.1665508625817967,-830.0925873710748,1
Ta–Zr,0.0,-0.12700318853833248,-822.1454195866385,1
Pb–Sm,0.02797026022304837,-0.10195041232638886,-815.7701996902686,1
In–Ti,0.2766804123711345,-0.11981214493119552,-815.2257400542583,1
Cr–Mg,0.01130635838150291,-0.08368535004349777,-811.8243069778384,1
Mg–V,0.5299664804469283,-0.12504151098971875,-811.6472064959418,1
Sc–Ta,0.12990857142857165,-0.06764743446944374,-805.8353584607758,2
Al–Li,2.6589367088607583,-0.2670714460364811,-804.4510492916633,1
Sm–Sr,0.029731343283582137,-0.009275157121672201,-794.1138675974998,2
Nd–Sr,0.19271999999999953,-0.021083415780091607,-793.7810551897428,2
Mg–Zr,0.0,-0.0005731577073691715,-792.646796398316,1
La–Yb,0.002506437768240347,-0.0,-792.465581502948,1
Ta–V,0.9690502793296106,-0.07844964977777766,-792.4577139587275,1
Al–Co,2.117088435374149,-0.16953606390476908,-791.959740585343,1
Hf–Sc,0.1522758620689658,-0.009219334695986181,-791.7791678447159,1
La–Sr,0.3605421686746994,-0.02004745187299876,-790.3598583636137,1
La–Y,0.5284117647058814,-0.026518005540166156,-788.6891818033048,1
Sr–Tm,0.5105421686746996,-0.021457922419460863,-787.8471140869384,1
V–Zn,0.31408839779005576,-0.0004425925925925934,-786.6657504831152,2
Pr–Sr,0.6011755102040827,-0.021943124999999987,-786.2432214707515,2
Mo–Nd,46.64070796460178,-3.7589933522674097,-785.9258419013861,2
Sr–Yb,0.4387096774193556,0.0006346205779098017,-784.0533946872787,2
La–Ni,19.83560732984293,-1.574265008112493,-784.0233761387215,1
Ti–Tm,2.0309907834101364,-0.12501303794214527,-783.2028080522807,1
Gd–Sr,1.1975999999999996,-0.048412364959392815,-781.1194183381623,1
Sr–Ti,5.296551724137931,-0.37829849367738866,-780.4314066772863,2
Ta–Y,4.044884210526318,-0.27071412721893495,-779.0433987784796,3
Bi–Pb,0.7915520000000015,-0.00016107202380286572,-777.5542479479664,2
Bi–V,5.19771428571428,-0.35522899673149383,-776.9213686376386,4
Sr–Tb,1.4400504201680675,-0.048250338579263294,-776.4882539272614,1
Mg–Ti,1.5132043010752692,-0.05072125313252344,-775.6788254084172,1
Sr–Y,1.7673220338983051,-0.0617990993549434,-773.4491014205043,1
Er–Ta,3.675957671957673,-0.20672515111204465,-771.1030289843542,3
Na–Ta,9.035643564356432,-0.6417277464966545,-771.0554425550017,1
Al–Be,1.181196850393703,-0.0019111176040905807,-770.5805258844553,2
Ta–Tb,4.889583333333336,-0.2999004143678029,-769.8498329512538,3
Dy–Sr,1.6148734177215192,-0.0330322528297294,-769.6254533119844,2
Ti–Zn,1.3588085106382977,-0.009736091832463009,-769.0412934695971,1
Ho–Sr,1.7341016949152543,-0.03757095518334089,-768.4255750063718,1
Ho–Ta,4.027831578947371,-0.21814338220351284,-767.1006774516055,3
Lu–Sr,2.6306206896551725,-0.09812020851369525,-765.5678518004953,1
Er–Sr,2.0184,-0.04383151558685404,-764.5000950693103,1
Dy–Ta,4.469973821989531,-0.23105565828402375,-761.7367313966128,3
Al–Mg,2.3311168831168816,-0.040381083562901786,-757.7704427586357,1
Y–Zr,2.2338947368421063,-0.03138956418776574,-757.5144723024198,1
Al–Mn,1.9032348993288588,-0.004508324661810624,-757.507086017609,1
Hf–Lu,1.9045945945945946,-0.002499405149627752,-757.0126052227135,10
Mn–V,2.073931034482758,-0.013674214755295785,-756.4117342947778,1
Cr–Ti,2.422032085561497,-0.03770557655954625,-755.4237541578583,1
B–Be,9.331199999999999,-0.5922398226860814,-753.9094485607562,1
Gd–Ta,5.835443298969077,-0.3001991712643942,-751.9996863544029,3
Cr–Na,6.9102857142857115,-0.36712684130166606,-747.2517355919696,3
Al–Sc,3.702152866242037,-0.10602200404235976,-747.1107130996802,1
Er–Hf,2.6437021276595756,-0.008073987555480064,-744.3104547882737,1
Mo–Sm,38.325534246575366,-2.896787526284469,-742.2918672591601,2
Hf–Ho,2.849798941798943,-0.010711766415642775,-741.0212798813977,1
Co–Ti,7.144692737430165,-0.3404964415784019,-736.5973636390677,2
Pr–Ta,8.235135678391956,-0.428636268512111,-736.5030672315745,3
Dy–Hf,3.147368421052634,-0.0137469909940241,-736.091835488715,1
Hf–Tb,3.410246073298431,-0.02504743437376206,-733.748086181624,1
Ta–Ti,3.203440860215055,-0.006715928819444456,-733.3890257183643,1
Ce–Ta,9.100373134328354,-0.4834817165906234,-732.9071800706665,1
Pr–Zr,4.344693467336681,-0.09302839827194381,-731.9057528324323,1
Ce–Zr,4.656880597014923,-0.11155727672497695,-730.3143442266066,1
Gd–Hf,4.026430051813475,-0.02507766727132466,-722.0811858313959,1
La–Zr,5.571906403940884,-0.13521990657745234,-718.4996212186427,1
La–Ta,10.599403940886697,-0.53922613328675,-717.5134662376881,4
Mn–Ti,4.000917127071821,-0.00018007393432237348,-716.7554423795265,2
Sr–V,11.492,-0.6083973607355325,-716.7417421139312,1
Sc–Sr,5.739429864253395,-0.11933265660836302,-711.6189852400886,1
Hf–Pr,5.456323232323229,-0.06769335184951407,-704.9341309655101,1
Pb–Ti,7.188334763948502,-0.17789891121095605,-697.833325602832,1
Al–Y,8.770604651162788,-0.2773918244170098,-691.069988536242,2
Hf–La,6.93988118811881,-0.10277024872448978,-685.0114184909269,1
Sm–Ti,8.006644067796612,-0.18883790233999861,-684.8822752886679,1
Ta–Yb,10.091584158415838,-0.35192593239584236,-683.4335634328706,3
Al–Tb,9.452390804597702,-0.2879992031343384,-680.6280748646624,2
Hf–Yb,6.669626865671641,-0.06003268494897959,-680.1600219187217,2
Al–Er,8.56783625730994,-0.1902669679635983,-674.5836008127802,1
K–Ti,11.93193650793651,-0.4605372386247945,-673.9082092032666,3
Al–Ce,11.67269398907103,-0.431057744229932,-671.9415572122675,2
As–Na,4.644340425531913,0.14786303287858205,-670.0240430876446,1
Be–Li,7.8427919463087274,-0.0969167257812457,-666.5395205475453,1
Al–Gd,10.281818181818181,-0.2885877850153035,-665.0514314583894,1
Al–Dy,9.155682080924855,-0.1962161865569274,-664.8345991116945,3
Nd–Ti,10.637456790123455,-0.2997188208616781,-660.9107472053038,1
Al–Pr,11.635359116022093,-0.3590775047258982,-655.8544760293415,1
Sr–Zr,9.8811376146789,-0.21245088846880925,-654.8783099506378,3
Al–Na,10.267826086956516,-0.2275961689566566,-651.0859710041542,1
Al–La,13.380708108108097,-0.477064644687128,-650.3165813684586,1
Hf–Tm,7.7813861386138585,-0.00480054829883354,-646.2103648320536,1
K–Mo,53.52579574468087,-3.708309480604868,-643.6584081317367,3
Ta–Tm,11.385246305418715,-0.16918373209668813,-616.2870372501228,3
Hf–Sr,12.317465437788021,-0.1833194165201126,-601.923752432892,1
Cr–Sr,15.904109589041104,-0.43727797552775477,-593.2262961629984,1
Al–Ti,11.166476190476187,-0.011288430161936067,-583.5916685425474,1
Al–Yb,13.23547826086956,-0.15630919724651937,-578.229462222147,1
B–Li,34.75035114503817,-1.8626620848881852,-568.743845482619,1
Rb–Ti,18.193669172932324,-0.45429524629963214,-553.8197591350217,3
Pb–V,14.4283185840708,-0.11623458562375287,-546.280228690258,3
Bi–W,23.80114213197968,-0.8741209599999995,-545.5366402201055,3
Nd–V,20.105932203389823,-0.5177782987313595,-532.4027034531349,1
Sm–Zr,14.369369369369373,-0.04560238527136641,-530.9171676032604,1
K–V,22.903559183673465,-0.7199250645863163,-526.564909507616,4
Al–Sr,17.85856,-0.2896157407407408,-521.7456110446054,2
Bi–Mo,16.906499999999998,-0.09206891632373129,-493.6913509966889,4
Nd–Zr,17.25233187772925,-0.08024820933664485,-484.38136590536493,1
Hf–Sm,17.27723076923078,-0.030520297612620307,-472.30713837871093,1
Cr–Pb,19.794218181818188,-0.05714432613054141,-430.83329870955936,2
Cs–Ti,25.583230249110322,-0.49271223282212295,-422.7837831567608,3
Hf–Nd,20.774175438596494,-0.057371966561155854,-412.32056675415765,1
Sm–Ta,26.32882882882884,-0.27828204535068085,-358.6271982583518,3
Cr–K,28.85020920502092,-0.47460347107438006,-356.6638857017982,4
Al–Sm,25.61333333333334,-0.17793694229625243,-348.7701710878811,1
B–Sc,41.57833846153847,-1.4604637336504165,-345.5429418164888,1
B–Mg,34.05826771653543,-0.8276032068309672,-340.3560791272903,1
Al–Nd,28.52488151658767,-0.31739748723390565,-326.14814206954475,1
Cs–W,122.16576896551722,-7.868319243292194,-313.8476976591901,2
K–Ta,36.4586218487395,-0.877407202216066,-306.5002670536454,1
B–Mn,35.488524590163955,-0.6576070620190131,-273.5955950050875,3
Nd–Ta,32.31974672489082,-0.39180758276966915,-271.61361739060357,3
Pb–W,47.05404694835683,-1.5709668636525442,-267.5851075135933,2
Mo–Rb,73.06766666666668,-3.679268218277453,-266.6507011880044,4
B–Lu,55.69600000000002,-2.0576978085351785,-217.4223573006568,1
Mo–Pb,35.509259259259274,-0.3409764481378887,-199.32658928262208,2
B–Y,60.00033103448278,-2.166863954091755,-161.34498704887068,1
Cr–Rb,40.23348221343873,-0.46563768595041327,-138.9094399714807,4
B–Er,59.36844444444446,-1.7228641975308647,-69.72252398634163,1
B–Gd,65.04530872483227,-2.170331360946746,-66.57404334537375,1
B–Ho,59.72660689655174,-1.7122306458667442,-60.45591596652332,1
B–Zn,42.3648527131783,-0.2202558544039467,-41.276991732399814,2
B–Dy,61.29972602739728,-1.7176873721803365,-31.92544554094826,1
B–Th,69.89583892617455,-2.397246640492834,-27.621819192404132,1
B–Pr,69.6137142857143,-2.3480711997152013,-21.49322866171974,1
B–La,75.27078481012661,-2.792756155451972,-18.07060793236485,3
B–Co,43.32000000000001,-0.11407450693937199,1.593019753185203,2
Cr–Tl,44.52655378486055,-0.0019888888888888708,50.603652597426375,1
B–Na,66.21019108280255,-1.7397415440767652,55.960420775509704,5
Cr–Cs,53.269870149253734,-0.5016199522035781,99.67693574236779,4
Cs–Mo,95.51978333333332,-3.8153145957565293,126.97505196950499,2
B–Yb,74.70143312101912,-1.4381336040493014,287.20289708175886,1
Tl–W,98.17672131147538,-3.093907443519619,345.6307824261156,1
B–Tm,81.33924050632913,-1.3871686749792445,424.85104003611053,1
B–Sr,90.94739884393069,-1.9412100369413368,477.6142466542897,3
B–Eu,90.74825581395349,-1.3715147928994087,606.7625211471461,2
B–Bi,76.586835443038,-0.0012455107891957173,658.1772820848867,4
B–K,115.67695336787565,-2.0197898566867165,927.7954321145764,5
B–Sm,110.03361581920906,-1.560341631462109,928.0775527310451,2
B–Nd,118.62821739130435,-2.1787757487216948,946.6142511035807,3
B–Pb,108.864551724138,-0.0768294618462968,1252.061660230534,4
B–Cs,158.53927927927927,-2.0875247675659203,1724.042567533235,4
